"name","main_category","ratings","discount_price","actual_price"
Nike Court Vision MID Mens Shoes (Numeric_12),men's shoes,4.3,5990.0,5995.0
Hidesign Women Sling Bag (Blue),accessories,4.3,6694.0,6695.0
Nike Mens Juniper Trail Sneaker,men's shoes,4.3,6790.0,6795.0
Skechers Synthetic Mesh Regular Slipon Men's Casual Shoes,men's shoes,4.3,7990.0,7999.0
GUESS Analog Black Dial Men's Watch-GW0111L3,accessories,4.3,14890.0,14900.0
"Bangalore Refinery 8 gm, 24k (999) Yellow Gold Ganesh Coin",accessories,4.3,51739.0,52000.0
PolluGuard STD Medium Size Adult Mask - 10 Count,accessories,4.2,199.0,200.0
Jockey Men's Cotton Brief(Pack of 1) (8037-0110-ASSTD_Bottle Green Medium_Bottle Green 1_M),men's clothing,4.2,209.0,210.0
Aakrutii Embroidery Cotton Zipper Pouch for Women | Mini Packet | Handcrafted | Environmental Friendly | (Goat Print),accessories,4.2,289.0,290.0
Aakrutii Embroidery Cotton Zipper Pouch for Women | Mini Packet | Handcrafted | Environmental Friendly | (Natural Beige),accessories,4.2,298.0,300.0
"Van Heusen Men Trunks - Cotton Spandex - Plush Back Elasticized Waistband, Double Layer Gusset, Solid_70008_Pure Black_M",men's clothing,4.2,318.0,319.0
Jockey Men Cotton Trunks (Pack of 1),men's clothing,4.2,359.0,360.0
Jockey Boy's Cotton Brief (Pack of 2),men's clothing,4.2,367.0,369.0
Jockey Men's Cotton Trunks (8901326176016_US68-0105-YD003_X-Large_Print YD003)(Color May Vary),men's clothing,4.2,398.0,399.0
Gospel RUPA Men's Cotton Vest (Pack of 1),men's clothing,4.2,398.0,399.0
Lux Inferno Men's Thermal Bottom Front Open Trouser White (Pack of 2),men's clothing,4.2,499.0,500.0
Jockey Men's Cotton Trunks (Pack of 2) (Bloom438_White_32-34 inch),men's clothing,4.2,508.0,510.0
